name,       day,        hour,   minute
Wednesday #38,   Wednesday,     19,     00
Wednesday #39,   Wednesday,     19,     30
Wednesday #40,   Wednesday,     20,     00
Wednesday #41,   Wednesday,     20,     30
Wednesday #42,   Wednesday,     21,     00
Wednesday #43,   Wednesday,     21,     30
Wednesday #44,   Wednesday,     22,     00
Wednesday #45,   Wednesday,     22,     30
Wednesday #46,   Wednesday,     23,     00
Wednesday #47,   Wednesday,     23,     30

Thursday #0,    Thursday,     00,     00
Thursday #1,    Thursday,     00,     30
Thursday #2,    Thursday,     01,     00
Thursday #3,    Thursday,     01,     30
Thursday #4,    Thursday,     02,     00
Thursday #5,    Thursday,     02,     30
Thursday #6,    Thursday,     03,     00
Thursday #7,    Thursday,     03,     30
Thursday #8,    Thursday,     04,     00
Thursday #9,    Thursday,     04,     30
Thursday #10,   Thursday,     05,     00
Thursday #11,   Thursday,     05,     30
Thursday #12,   Thursday,     06,     00
Thursday #13,   Thursday,     06,     30
Thursday #14,   Thursday,     07,     00
Thursday #15,   Thursday,     07,     30
Thursday #16,   Thursday,     08,     00
Thursday #17,   Thursday,     08,     30
Thursday #18,   Thursday,     09,     00
Thursday #19,   Thursday,     09,     30
Thursday #20,   Thursday,     10,     00
Thursday #21,   Thursday,     10,     30
Thursday #22,   Thursday,     11,     00
Thursday #23,   Thursday,     11,     30
Thursday #24,   Thursday,     12,     00
Thursday #25,   Thursday,     12,     30
Thursday #26,   Thursday,     13,     00
Thursday #27,   Thursday,     13,     30
Thursday #28,   Thursday,     14,     00
Thursday #29,   Thursday,     14,     30
Thursday #30,   Thursday,     15,     00
Thursday #31,   Thursday,     15,     30
Thursday #32,   Thursday,     16,     00
Thursday #33,   Thursday,     16,     30
Thursday #34,   Thursday,     17,     00
Thursday #35,   Thursday,     17,     30
Thursday #36,   Thursday,     18,     00
Thursday #37,   Thursday,     18,     30
Thursday #38,   Thursday,     19,     00
Thursday #39,   Thursday,     19,     30
Thursday #40,   Thursday,     20,     00
Thursday #41,   Thursday,     20,     30
Thursday #42,   Thursday,     21,     00
Thursday #43,   Thursday,     21,     30
Thursday #44,   Thursday,     22,     00
Thursday #45,   Thursday,     22,     30
Thursday #46,   Thursday,     23,     00
Thursday #47,   Thursday,     23,     30

Friday #0,    Friday,     00,     00
Friday #1,    Friday,     00,     30
Friday #2,    Friday,     01,     00
Friday #3,    Friday,     01,     30
Friday #4,    Friday,     02,     00
Friday #5,    Friday,     02,     30
Friday #6,    Friday,     03,     00
Friday #7,    Friday,     03,     30
Friday #8,    Friday,     04,     00
Friday #9,    Friday,     04,     30
Friday #10,   Friday,     05,     00
Friday #11,   Friday,     05,     30
Friday #12,   Friday,     06,     00
Friday #13,   Friday,     06,     30
Friday #14,   Friday,     07,     00
Friday #15,   Friday,     07,     30
Friday #16,   Friday,     08,     00
Friday #17,   Friday,     08,     30
Friday #18,   Friday,     09,     00
Friday #19,   Friday,     09,     30
Friday #20,   Friday,     10,     00
Friday #21,   Friday,     10,     30
Friday #22,   Friday,     11,     00
Friday #23,   Friday,     11,     30
Friday #24,   Friday,     12,     00
Friday #25,   Friday,     12,     30
Friday #26,   Friday,     13,     00
Friday #27,   Friday,     13,     30
Friday #28,   Friday,     14,     00
Friday #29,   Friday,     14,     30
Friday #30,   Friday,     15,     00
Friday #31,   Friday,     15,     30
Friday #32,   Friday,     16,     00
Friday #33,   Friday,     16,     30
Friday #34,   Friday,     17,     00
Friday #35,   Friday,     17,     30
Friday #36,   Friday,     18,     00
Friday #37,   Friday,     18,     30
Friday #38,   Friday,     19,     00
Friday #39,   Friday,     19,     30
Friday #40,   Friday,     20,     00
Friday #41,   Friday,     20,     30
Friday #42,   Friday,     21,     00
Friday #43,   Friday,     21,     30
Friday #44,   Friday,     22,     00
Friday #45,   Friday,     22,     30
Friday #46,   Friday,     23,     00
Friday #47,   Friday,     23,     30

Saturday #0,    Saturday,     00,     00
Saturday #1,    Saturday,     00,     30
Saturday #2,    Saturday,     01,     00
Saturday #3,    Saturday,     01,     30
Saturday #4,    Saturday,     02,     00
Saturday #5,    Saturday,     02,     30
Saturday #6,    Saturday,     03,     00
Saturday #7,    Saturday,     03,     30
Saturday #8,    Saturday,     04,     00
Saturday #9,    Saturday,     04,     30
Saturday #10,   Saturday,     05,     00
Saturday #11,   Saturday,     05,     30
Saturday #12,   Saturday,     06,     00
Saturday #13,   Saturday,     06,     30
Saturday #14,   Saturday,     07,     00
Saturday #15,   Saturday,     07,     30
Saturday #16,   Saturday,     08,     00
Saturday #17,   Saturday,     08,     30
Saturday #18,   Saturday,     09,     00
Saturday #19,   Saturday,     09,     30
Saturday #20,   Saturday,     10,     00
Saturday #21,   Saturday,     10,     30
Saturday #22,   Saturday,     11,     00
Saturday #23,   Saturday,     11,     30
Saturday #24,   Saturday,     12,     00
Saturday #25,   Saturday,     12,     30
Saturday #26,   Saturday,     13,     00
Saturday #27,   Saturday,     13,     30
Saturday #28,   Saturday,     14,     00
Saturday #29,   Saturday,     14,     30
Saturday #30,   Saturday,     15,     00
Saturday #31,   Saturday,     15,     30
Saturday #32,   Saturday,     16,     00
Saturday #33,   Saturday,     16,     30
Saturday #34,   Saturday,     17,     00
Saturday #35,   Saturday,     17,     30
Saturday #36,   Saturday,     18,     00
Saturday #37,   Saturday,     18,     30
Saturday #38,   Saturday,     19,     00
Saturday #39,   Saturday,     19,     30
Saturday #40,   Saturday,     20,     00
Saturday #41,   Saturday,     20,     30
Saturday #42,   Saturday,     21,     00
Saturday #43,   Saturday,     21,     30
Saturday #44,   Saturday,     22,     00
Saturday #45,   Saturday,     22,     30
Saturday #46,   Saturday,     23,     00
Saturday #47,   Saturday,     23,     30

Sunday #0,    Sunday,     00,     00
Sunday #1,    Sunday,     00,     30
Sunday #2,    Sunday,     01,     00
Sunday #3,    Sunday,     01,     30
Sunday #4,    Sunday,     02,     00
Sunday #5,    Sunday,     02,     30
Sunday #6,    Sunday,     03,     00
Sunday #7,    Sunday,     03,     30
Sunday #8,    Sunday,     04,     00
Sunday #9,    Sunday,     04,     30
Sunday #10,   Sunday,     05,     00
Sunday #11,   Sunday,     05,     30
Sunday #12,   Sunday,     06,     00
Sunday #13,   Sunday,     06,     30
Sunday #14,   Sunday,     07,     00
Sunday #15,   Sunday,     07,     30
Sunday #16,   Sunday,     08,     00
Sunday #17,   Sunday,     08,     30
Sunday #18,   Sunday,     09,     00
Sunday #19,   Sunday,     09,     30
Sunday #20,   Sunday,     10,     00
Sunday #21,   Sunday,     10,     30
Sunday #22,   Sunday,     11,     00
Sunday #23,   Sunday,     11,     30
Sunday #24,   Sunday,     12,     00
Sunday #25,   Sunday,     12,     30
Sunday #26,   Sunday,     13,     00
Sunday #27,   Sunday,     13,     30
Sunday #28,   Sunday,     14,     00
Sunday #29,   Sunday,     14,     30
Sunday #30,   Sunday,     15,     00
Sunday #31,   Sunday,     15,     30
Sunday #32,   Sunday,     16,     00
Sunday #33,   Sunday,     16,     30
Sunday #34,   Sunday,     17,     00
Sunday #35,   Sunday,     17,     30
Sunday #36,   Sunday,     18,     00
Sunday #37,   Sunday,     18,     30
Sunday #38,   Sunday,     19,     00
Sunday #39,   Sunday,     19,     30
Sunday #40,   Sunday,     20,     00
Sunday #41,   Sunday,     20,     30
Sunday #42,   Sunday,     21,     00
Sunday #43,   Sunday,     21,     30
Sunday #44,   Sunday,     22,     00
Sunday #45,   Sunday,     22,     30
Sunday #46,   Sunday,     23,     00
Sunday #47,   Sunday,     23,     30
